K,mean_test_FE,SEM_test_FE,delta_vs_bestK12,within_1SE_rule,FO_max_median_sweep,n_active_median_sweep,mean_state_corr_stability,median_state_corr_stability,matched_FOmax_median,matched_n_active_median,matched_neff_median
3,150.46516900710478,2.263428687116602,1.1389178948585084,True,0.8223782894897884,3.0,0.8545825849727972,0.8472471341284677,0.9309951066970824,2.0,1.3005319193338067
5,150.35364237855762,2.2965270100683406,1.027391266311355,True,0.7929030194249294,3.5,0.7356075260098022,0.7190606771407142,0.9299658536911011,2.5,1.33703507734753
12,149.32625111224627,2.398274149314499,0.0,True,0.8043160186430405,4.0,,,,,
